archetype_key,count,share_pct
[overlap>=1+dup>=0+lohi=1] [2E3O] [sum=Low|spread=8-9] | struct=single,10,5.05
[overlap>=1+dup>=0+lohi=1] [3E2O] [sum=Low|spread=8-9] | struct=single,8,4.04
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Mid|spread=6-7] | struct=double,8,4.04
[overlap>=1+dup>=1+lohi=1] [4E1O] [sum=Low|spread=8-9] | struct=double,8,4.04
[overlap>=1+dup>=0+lohi=1] [3E2O] [sum=Low|spread=6-7] | struct=single,6,3.03
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Low|spread=8-9] | struct=double,6,3.03
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Low|spread=6-7] | struct=double,6,3.03
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Mid|spread=6-7] | struct=double,6,3.03
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Low|spread=6-7] | struct=double,5,2.53
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Mid|spread=8-9] | struct=double,5,2.53
[overlap>=1+dup>=0+lohi=1] [3E2O] [sum=Mid|spread=6-7] | struct=single,5,2.53
[overlap>=1+dup>=1+lohi=1] [1E4O] [sum=Mid|spread=6-7] | struct=double,4,2.02
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Mid|spread=8-9] | struct=double,4,2.02
[overlap>=1+dup>=1+lohi=1] [4E1O] [sum=Low|spread=6-7] | struct=double,4,2.02
[overlap>=1+dup>=1+lohi=1] [4E1O] [sum=Mid|spread=4-5] | struct=double,4,2.02
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Low|spread=8-9] | struct=double,4,2.02
[overlap>=1+dup>=0+lohi=1] [1E4O] [sum=Mid|spread=8-9] | struct=single,4,2.02
[overlap>=1+dup>=0+lohi=1] [1E4O] [sum=Low|spread=8-9] | struct=single,3,1.52
[overlap>=1+dup>=0+lohi=1] [3E2O] [sum=Mid|spread=8-9] | struct=single,3,1.52
[overlap>=1+dup>=0+lohi=1] [3E2O] [sum=Low|spread=4-5] | struct=single,3,1.52
[overlap>=1+dup>=0+lohi=1] [2E3O] [sum=Mid|spread=8-9] | struct=single,3,1.52
[overlap>=1+dup>=0+lohi=1] [2E3O] [sum=Mid|spread=6-7] | struct=single,3,1.52
[overlap>=1+dup>=1+lohi=1] [3E2O] [sum=Low|spread=6-7] | struct=double_double,3,1.52
[overlap>=1+dup>=1+lohi=1] [2E3O] [sum=Low|spread=4-5] | struct=double,3,1.52
[overlap>=1+dup>=1+lohi=1] [1E4O] [sum=Mid|spread=8-9] | struct=double,3,1.52
