op,k,kept_day,elim_day,pairs_day,kept_pct_day,elim_pct_day,kept_eve,elim_eve,pairs_eve,kept_pct_eve,elim_pct_eve
<,0,826,0,826,100.0,0.0,498,0,498,100.0,0.0
<,1,773,53,826,93.58,6.42,468,30,498,93.98,6.02
<,2,593,233,826,71.79,28.21,363,135,498,72.89,27.11
<=,0,773,53,826,93.58,6.42,468,30,498,93.98,6.02
<=,1,593,233,826,71.79,28.21,363,135,498,72.89,27.11
==,0,773,53,826,93.58,6.42,468,30,498,93.98,6.02
==,1,646,180,826,78.21,21.79,393,105,498,78.92,21.08
==,3,599,227,826,72.52,27.48,362,136,498,72.69,27.31
==,4,724,102,826,87.65,12.35,436,62,498,87.55,12.45
==,5,809,17,826,97.94,2.06,486,12,498,97.59,2.41
>,3,707,119,826,85.59,14.41,424,74,498,85.14,14.86
>,4,809,17,826,97.94,2.06,486,12,498,97.59,2.41
>,5,826,0,826,100.0,0.0,498,0,498,100.0,0.0
>=,4,707,119,826,85.59,14.41,424,74,498,85.14,14.86
>=,5,809,17,826,97.94,2.06,486,12,498,97.59,2.41
